episode,falls,speed,average deviation
839,0,0.004849498,0.388096038
840,0,0.005183946,0.331213306
841,0,0.00458194,0.200631595
842,0,0.004983278,0.211007611
843,0,0.004882943,0.157441822
844,0,0.00541806,0.172943545
845,0,0.004782609,0.211849789
846,0,0.005083612,0.136332309
847,0,0.005150502,0.177767303
848,0,0.004782609,0.349805921
849,0,0.005451505,0.220380844
850,0,0.004615385,0.121812264
851,0,0.005016722,0.241200878
852,0,0.005016722,0.210933916
853,0,0.005050167,0.197813547
854,0,0.004882943,0.400101321
855,0,0.004715719,0.353054207
856,0,0.005551839,0.203652136
857,0,0.005451505,0.366356232
858,0,0.004983278,0.27744148
859,0,0.005016722,0.177878041
860,1,0.006193772,0.297272565
861,0,0.005284281,0.181772153
862,1,0.006448087,0.14894798
863,1,0.006956522,0.127092474
864,0,0.005016722,0.186021683
865,0,0.005083612,0.19648742
866,0,0.004749164,0.245181932
867,0,0.004548495,0.410921632
868,0,0.005250836,0.188813968
